

Threshold (S, V) : (2, 10)


Threshold (S, V) : (4, 10)
The Last V Value is : 29.2565
The Last V Value is : 32.8424
The Last V Value is : 33.2568
The Last V Value is : 30.7271
The Last V Value is : 30.4447
The Last V Value is : 23.8899
The Last V Value is : 30.5896
The Last V Value is : 29.6879
The Last V Value is : 32.4618
The Last V Value is : 31.3639
The Last V Value is : 29.7306
The Last V Value is : 23.3922
The Last V Value is : 32.6913
The Last V Value is : 27.8444
The Last V Value is : 30.2191
The Last V Value is : 33.2959
The Last V Value is : 31.9215
The Last V Value is : 29.8333
The Last V Value is : 28.3068
The Last V Value is : 33.2303
The Last V Value is : 30.0713
The Last V Value is : 27.6572
The Last V Value is : 27.017
The Last V Value is : 31.4478
The Last V Value is : 29.6225
The Last V Value is : 27.2864
The Last V Value is : 34.6594
The Last V Value is : 36.1747
The Last V Value is : 30.4523
The Last V Value is : 28.8743
The Last V Value is : 32.4072
The Last V Value is : 27.8518
The Last V Value is : 28.6583
The Last V Value is : 26.3947
The Last V Value is : 28.6909
The Last V Value is : 33.8929
The Last V Value is : 25.6886
The Last V Value is : 29.1714
The Last V Value is : 28.8258
The Last V Value is : 31.6054
The Last V Value is : 30.3647
The Last V Value is : 36.7298
The Last V Value is : 29.0604
The Last V Value is : 28.4686
The Last V Value is : 29.6305
The Last V Value is : 24.5013
The Last V Value is : 28.2525
The Last V Value is : 30.6636
The Last V Value is : 29.5631
The Last V Value is : 31.3196
average final V value : 29.9998
total change time : 174


Threshold (S, V) : (4.5, 10)
The Last V Value is : 32.854
The Last V Value is : 29.7384
The Last V Value is : 32.3526
The Last V Value is : 30.1298
The Last V Value is : 27.3396
The Last V Value is : 37.3844
The Last V Value is : 25.6689
The Last V Value is : 26.3417
The Last V Value is : 28.2365
The Last V Value is : 27.7442
The Last V Value is : 26.0419
The Last V Value is : 24.4256
The Last V Value is : 21.7863
The Last V Value is : 29.5171
The Last V Value is : 27.475
The Last V Value is : 31.3131
The Last V Value is : 33.9865
The Last V Value is : 24.617
The Last V Value is : 26.1113
The Last V Value is : 27.5113
The Last V Value is : 28.0597
The Last V Value is : 29.4353
The Last V Value is : 30.5639
The Last V Value is : 33.4963
The Last V Value is : 26.779
The Last V Value is : 26.7366
The Last V Value is : 30.3721
The Last V Value is : 31.4254
The Last V Value is : 28.0803
The Last V Value is : 24.5964
The Last V Value is : 24.54
The Last V Value is : 31.2232
The Last V Value is : 32.6754
The Last V Value is : 31.0633
The Last V Value is : 29.5417
The Last V Value is : 27.0392
The Last V Value is : 28.0239
The Last V Value is : 26.3147
The Last V Value is : 35.4082
The Last V Value is : 31.4904
The Last V Value is : 30.4727
The Last V Value is : 33.8507
The Last V Value is : 27.5097
The Last V Value is : 29.9121
The Last V Value is : 30.5122
The Last V Value is : 24.4577
The Last V Value is : 24.2269
The Last V Value is : 29.6095
The Last V Value is : 24.414
The Last V Value is : 30.163
average final V value : 28.8514
total change time : 163.82


Threshold (S, V) : (5, 10)
The Last V Value is : 29.9845
The Last V Value is : 30.0589
The Last V Value is : 36.2322
The Last V Value is : 25.0692
The Last V Value is : 30.3957
The Last V Value is : 27.9382
The Last V Value is : 27.996
The Last V Value is : 26.5879
The Last V Value is : 27.4402
The Last V Value is : 25.6625
The Last V Value is : 29.0275
The Last V Value is : 32.9709
The Last V Value is : 25.4964
The Last V Value is : 29.4392
The Last V Value is : 24.5188
The Last V Value is : 33.1846
The Last V Value is : 30.3973
The Last V Value is : 25.8732
The Last V Value is : 21.7164
The Last V Value is : 27.2845
The Last V Value is : 29.1115
The Last V Value is : 35.3247
The Last V Value is : 28.4583
The Last V Value is : 28.8034
The Last V Value is : 28.6619
The Last V Value is : 32.5857
The Last V Value is : 33.8827
The Last V Value is : 26.3002
The Last V Value is : 39.2297
The Last V Value is : 31.6739
The Last V Value is : 35.1586
The Last V Value is : 25.2727
The Last V Value is : 24.6369
The Last V Value is : 27.6824
The Last V Value is : 29.4354
The Last V Value is : 25.9199
The Last V Value is : 23.0759
The Last V Value is : 29.844
The Last V Value is : 28.1366
The Last V Value is : 27.5865
The Last V Value is : 32.4146
The Last V Value is : 28.5676
The Last V Value is : 24.1516
The Last V Value is : 31.8023
The Last V Value is : 28.1782
The Last V Value is : 28.0212
The Last V Value is : 32.5861
The Last V Value is : 31.6219
The Last V Value is : 23.4753
The Last V Value is : 23.9014
average final V value : 28.8555
total change time : 105.76


Threshold (S, V) : (5.5, 10)
The Last V Value is : 27.3802
The Last V Value is : 24.7793
The Last V Value is : 26.774
The Last V Value is : 29.6447
The Last V Value is : 34.62
The Last V Value is : 29.7026
The Last V Value is : 26.934
The Last V Value is : 32.1485
The Last V Value is : 29.0213
The Last V Value is : 27.9677
The Last V Value is : 21.1686
The Last V Value is : 27.5042
The Last V Value is : 30.4506
The Last V Value is : 31.3709
The Last V Value is : 28.4739
The Last V Value is : 27.2416
The Last V Value is : 22.9343
The Last V Value is : 27.0172
The Last V Value is : 31.143
The Last V Value is : 32.4392
The Last V Value is : 26.758
The Last V Value is : 34.7316
The Last V Value is : 30.5143
The Last V Value is : 21.138
The Last V Value is : 18.6805
The Last V Value is : 27.0164
The Last V Value is : 32.6249
The Last V Value is : 28.4869
The Last V Value is : 27.2083
The Last V Value is : 28.6797
The Last V Value is : 30.9976
The Last V Value is : 28.0455
The Last V Value is : 26.8678
The Last V Value is : 26.7522
The Last V Value is : 25.1273
The Last V Value is : 26.8777
The Last V Value is : 30.3162
The Last V Value is : 20.6383
The Last V Value is : 34.6668
The Last V Value is : 32.9054
The Last V Value is : 29.7568
The Last V Value is : 27.162
The Last V Value is : 28.9148
The Last V Value is : 25.8601
The Last V Value is : 29.1432
The Last V Value is : 26.7078
The Last V Value is : 24.1066
The Last V Value is : 26.7137
The Last V Value is : 28.719
The Last V Value is : 23.0415
average final V value : 27.9575
total change time : 112.48


Threshold (S, V) : (6, 10)
The Last V Value is : 25.1502
The Last V Value is : 23.0774
The Last V Value is : 31.2697
The Last V Value is : 26.22
The Last V Value is : 26.1714
The Last V Value is : 24.8334
The Last V Value is : 26.4334
The Last V Value is : 25.7488
The Last V Value is : 24.2192
The Last V Value is : 29.349
The Last V Value is : 28.5969
The Last V Value is : 24.6034
The Last V Value is : 24.9677
The Last V Value is : 27.1405
The Last V Value is : 27.845
The Last V Value is : 31.6936
The Last V Value is : 24.6778
The Last V Value is : 24.4929
The Last V Value is : 27.9501
The Last V Value is : 29.5284
The Last V Value is : 27.6269
The Last V Value is : 23.2934
The Last V Value is : 24.2878
The Last V Value is : 24.8621
The Last V Value is : 31.2088
The Last V Value is : 22.8615
The Last V Value is : 29.5663
The Last V Value is : 25.3429
The Last V Value is : 31.2736
The Last V Value is : 24.8128
The Last V Value is : 30.1239
The Last V Value is : 31.2762
The Last V Value is : 28.1788
The Last V Value is : 20.7989
The Last V Value is : 25.5644
The Last V Value is : 27.7451
The Last V Value is : 26.3935
The Last V Value is : 27.4458
The Last V Value is : 24.1057
The Last V Value is : 33.1004
The Last V Value is : 23.35
The Last V Value is : 26.1711
The Last V Value is : 32.2031
The Last V Value is : 27.3778
The Last V Value is : 25.926
The Last V Value is : 25.1691
The Last V Value is : 28.7827
The Last V Value is : 32.6558
The Last V Value is : 26.421
The Last V Value is : 30.256
average final V value : 27.043
total change time : 53.44


Threshold (S, V) : (6.5, 10)
The Last V Value is : 28.3334
The Last V Value is : 23.0034
The Last V Value is : 27.6091
The Last V Value is : 30.1481
The Last V Value is : 33.8117
The Last V Value is : 25.1288
The Last V Value is : 29.8017
The Last V Value is : 24.7475
The Last V Value is : 26.1655
The Last V Value is : 32.5403
The Last V Value is : 28.0664
The Last V Value is : 30.9359
The Last V Value is : 33.6194
The Last V Value is : 26.924
The Last V Value is : 23.0417
The Last V Value is : 27.7724
The Last V Value is : 35.2983
The Last V Value is : 33.6939
The Last V Value is : 30.1763
The Last V Value is : 24.028
The Last V Value is : 23.5438
The Last V Value is : 29.5204
The Last V Value is : 26.8702
The Last V Value is : 28.2133
The Last V Value is : 27.811
The Last V Value is : 27.9023
The Last V Value is : 28.6322
The Last V Value is : 23.6477
The Last V Value is : 33.1043
The Last V Value is : 30.6556
The Last V Value is : 19.0331
The Last V Value is : 26.1023
The Last V Value is : 30.1067
The Last V Value is : 27.5842
The Last V Value is : 27.9701
The Last V Value is : 27.4494
The Last V Value is : 30.2719
The Last V Value is : 31.3622
The Last V Value is : 29.1795
The Last V Value is : 26.2357
The Last V Value is : 27.3527
The Last V Value is : 23.8131
The Last V Value is : 29.8795
The Last V Value is : 29.8498
The Last V Value is : 25.2393
The Last V Value is : 22.2167
The Last V Value is : 28.1794
The Last V Value is : 28.7069
The Last V Value is : 28.0333
The Last V Value is : 26.1842
average final V value : 27.9899
total change time : 58.12


Threshold (S, V) : (7, 10)
The Last V Value is : 27.0368
The Last V Value is : 26.9062
The Last V Value is : 25.7221
The Last V Value is : 32.4403
The Last V Value is : 29.1984
The Last V Value is : 28.87
The Last V Value is : 27.4106
The Last V Value is : 27.0135
The Last V Value is : 26.2959
The Last V Value is : 24.4595
The Last V Value is : 25.7268
The Last V Value is : 25.6859
The Last V Value is : 28.6175
The Last V Value is : 23.4862
The Last V Value is : 32.9261
The Last V Value is : 28.0662
The Last V Value is : 25.8701
The Last V Value is : 22.0564
The Last V Value is : 25.778
The Last V Value is : 32.3241
The Last V Value is : 30.2182
The Last V Value is : 30.4086
The Last V Value is : 25.225
The Last V Value is : 27.2306
The Last V Value is : 24.854
The Last V Value is : 32.1841
The Last V Value is : 30.3216
The Last V Value is : 28.3955
The Last V Value is : 21.929
The Last V Value is : 30.7746
The Last V Value is : 24.2004
The Last V Value is : 27.8853
The Last V Value is : 26.8982
The Last V Value is : 32.1227
The Last V Value is : 33.5307
The Last V Value is : 24.6158
The Last V Value is : 30.3552
The Last V Value is : 33.576
The Last V Value is : 30.6982
The Last V Value is : 23.3781
The Last V Value is : 26.1645
The Last V Value is : 21.388
The Last V Value is : 33.1595
The Last V Value is : 32.4175
The Last V Value is : 24.7654
The Last V Value is : 31.1623
The Last V Value is : 27.9357
The Last V Value is : 26.2504
The Last V Value is : 21.9437
The Last V Value is : 29.0209
average final V value : 27.778
total change time : 56.48


Threshold (S, V) : (7.5, 10)
The Last V Value is : 27.0579
The Last V Value is : 26.7617
The Last V Value is : 26.9096
The Last V Value is : 32.0412
The Last V Value is : 28.9357
The Last V Value is : 26.2211
The Last V Value is : 23.9445
The Last V Value is : 28.6558
The Last V Value is : 23.105
The Last V Value is : 33.2427
The Last V Value is : 24.1833
The Last V Value is : 28.6914
The Last V Value is : 26.9022
The Last V Value is : 26.6587
The Last V Value is : 26.6784
The Last V Value is : 26.6022
The Last V Value is : 26.7474
The Last V Value is : 25.4972
The Last V Value is : 27.5475
The Last V Value is : 26.0781
The Last V Value is : 28.5925
The Last V Value is : 27.3273
The Last V Value is : 32.9207
The Last V Value is : 29.7664
The Last V Value is : 26.6776
The Last V Value is : 25.8244
The Last V Value is : 28.0154
The Last V Value is : 28.4419
The Last V Value is : 29.5064
The Last V Value is : 26.9677
The Last V Value is : 25.7762
The Last V Value is : 28.2677
The Last V Value is : 29.7292
The Last V Value is : 26.5603
The Last V Value is : 28.2264
The Last V Value is : 21.5955
The Last V Value is : 31.0258
The Last V Value is : 18.5727
The Last V Value is : 27.9014
The Last V Value is : 25.5238
The Last V Value is : 31.0447
The Last V Value is : 27.4869
The Last V Value is : 26.2867
The Last V Value is : 30.4934
The Last V Value is : 26.529
The Last V Value is : 27.5859
The Last V Value is : 27.8893
The Last V Value is : 24.0108
The Last V Value is : 24.3603
The Last V Value is : 24.0122
average final V value : 27.1876
total change time : 59.7


Threshold (S, V) : (8, 10)
The Last V Value is : 27.9477
The Last V Value is : 29.5657
The Last V Value is : 24.0786
The Last V Value is : 29.1863
The Last V Value is : 27.4185
The Last V Value is : 29.361
The Last V Value is : 30.478
The Last V Value is : 26.1655
The Last V Value is : 29.3329
The Last V Value is : 25.533
The Last V Value is : 26.7277
The Last V Value is : 24.0337
The Last V Value is : 25.4174
The Last V Value is : 27.4049
The Last V Value is : 27.5611
The Last V Value is : 27.1942
The Last V Value is : 26.0973
The Last V Value is : 31.5649
The Last V Value is : 23.9514
The Last V Value is : 25.6467
The Last V Value is : 28.7138
The Last V Value is : 27.5099
The Last V Value is : 27.0156
The Last V Value is : 30.492
The Last V Value is : 27.8242
The Last V Value is : 27.3102
The Last V Value is : 24.0521
The Last V Value is : 28.0865
The Last V Value is : 26.2521
The Last V Value is : 27.3558
The Last V Value is : 27.4931
The Last V Value is : 32.6249
The Last V Value is : 26.1828
The Last V Value is : 29.7595
The Last V Value is : 24.7107
The Last V Value is : 27.9455
The Last V Value is : 27.8534
The Last V Value is : 28.4849
The Last V Value is : 25.0321
The Last V Value is : 27.1139
The Last V Value is : 26.4163
The Last V Value is : 26.092
The Last V Value is : 33.1179
The Last V Value is : 32.443
The Last V Value is : 22.3562
The Last V Value is : 24.3056
The Last V Value is : 29.6975
The Last V Value is : 27.7795
The Last V Value is : 32.2904
The Last V Value is : 35.264
average final V value : 27.7248
total change time : 31.8


Threshold (S, V) : (8.5, 10)
The Last V Value is : 24.1935
The Last V Value is : 30.035
The Last V Value is : 28.0643
The Last V Value is : 27.3152
The Last V Value is : 26.2062
The Last V Value is : 21.095
The Last V Value is : 31.7273
The Last V Value is : 34.2001
The Last V Value is : 31.1835
The Last V Value is : 28.7521
The Last V Value is : 29.3169
The Last V Value is : 31.9814
The Last V Value is : 21.0188
The Last V Value is : 25.4875
The Last V Value is : 24.4505
The Last V Value is : 27.0351
The Last V Value is : 24.8962
The Last V Value is : 20.9659
The Last V Value is : 27.9577
The Last V Value is : 26.0298
The Last V Value is : 29.1608
The Last V Value is : 25.109
The Last V Value is : 26.6365
The Last V Value is : 22.783
The Last V Value is : 24.3035
The Last V Value is : 27.8461
The Last V Value is : 28.7095
The Last V Value is : 19.621
The Last V Value is : 30.0957
The Last V Value is : 25.6233
The Last V Value is : 29.0598
The Last V Value is : 30.0538
The Last V Value is : 29.8747
The Last V Value is : 28.3016
The Last V Value is : 28.2696
The Last V Value is : 25.8038
The Last V Value is : 26.0507
The Last V Value is : 28.3912
The Last V Value is : 29.8538
The Last V Value is : 25.963
The Last V Value is : 24.0241
The Last V Value is : 26.6978
The Last V Value is : 33.3802
The Last V Value is : 24.9884
The Last V Value is : 23.9009
The Last V Value is : 30.4038
The Last V Value is : 22.1208
The Last V Value is : 31.9137
The Last V Value is : 29.1472
The Last V Value is : 26.262
average final V value : 27.1252
total change time : 48.96


Threshold (S, V) : (9, 10)
The Last V Value is : 25.0042
The Last V Value is : 25.1762
The Last V Value is : 25.4399
The Last V Value is : 32.2104
The Last V Value is : 23.9072
The Last V Value is : 24.918
The Last V Value is : 28.9895
The Last V Value is : 23.1593
The Last V Value is : 25.2793
The Last V Value is : 27.9884
The Last V Value is : 30.37
The Last V Value is : 28.0484
The Last V Value is : 27.5664
The Last V Value is : 26.5324
The Last V Value is : 31.4081
The Last V Value is : 26.3382
The Last V Value is : 25.9894
The Last V Value is : 24.1842
The Last V Value is : 24.525
The Last V Value is : 30.8646
The Last V Value is : 28.6855
The Last V Value is : 31.361
The Last V Value is : 26.2715
The Last V Value is : 27.6337
The Last V Value is : 21.6552
The Last V Value is : 26.4684
The Last V Value is : 27.3512
The Last V Value is : 22.4279
The Last V Value is : 25.7288
The Last V Value is : 25.4704
The Last V Value is : 19.9374
The Last V Value is : 30.7305
The Last V Value is : 26.7643
The Last V Value is : 29.0957
The Last V Value is : 23.9297
The Last V Value is : 29.9733
The Last V Value is : 28.5864
The Last V Value is : 29.5033
The Last V Value is : 28.357
The Last V Value is : 26.2364
The Last V Value is : 27.2564
The Last V Value is : 33.1804
The Last V Value is : 27.3311
The Last V Value is : 27.2662
The Last V Value is : 23.7481
The Last V Value is : 25.3237
The Last V Value is : 22.0477
The Last V Value is : 26.1734
The Last V Value is : 26.6061
The Last V Value is : 23.9907
average final V value : 26.7398
total change time : 17.86


Threshold (S, V) : (9.5, 10)
The Last V Value is : 26.416
The Last V Value is : 23.7918
The Last V Value is : 27.8671
The Last V Value is : 24.9081
The Last V Value is : 24.8955
The Last V Value is : 27.8039
The Last V Value is : 22.3233
The Last V Value is : 29.2565
The Last V Value is : 25.2062
The Last V Value is : 27.4972
The Last V Value is : 30.054
The Last V Value is : 21.1003
The Last V Value is : 27.7091
The Last V Value is : 23.4648
The Last V Value is : 28.9541
The Last V Value is : 27.8542
The Last V Value is : 30.0998
The Last V Value is : 22.819
The Last V Value is : 21.0199
The Last V Value is : 20.3646
The Last V Value is : 26.0442
The Last V Value is : 25.1998
The Last V Value is : 20.8949
The Last V Value is : 25.2731
The Last V Value is : 30.995
The Last V Value is : 26.8701
The Last V Value is : 27.0121
The Last V Value is : 23.84
The Last V Value is : 29.8289
The Last V Value is : 29.0965
The Last V Value is : 22.8549
The Last V Value is : 27.0267
The Last V Value is : 27.1374
The Last V Value is : 28.7523
The Last V Value is : 31.3797
The Last V Value is : 27.5019
The Last V Value is : 29.7527
The Last V Value is : 27.1249
The Last V Value is : 27.3608
The Last V Value is : 27.2617
The Last V Value is : 27.7887
The Last V Value is : 27.9172
The Last V Value is : 26.2723
The Last V Value is : 28.2478
The Last V Value is : 25.8785
The Last V Value is : 27.6504
The Last V Value is : 25.2478
The Last V Value is : 25.0901
The Last V Value is : 28.8231
The Last V Value is : 24.2532
average final V value : 26.4356
total change time : 10.74


Threshold (S, V) : (10, 10)
The Last V Value is : 27.1153
The Last V Value is : 25.1191
The Last V Value is : 28.5617
The Last V Value is : 26.9013
The Last V Value is : 26.2921
The Last V Value is : 27.1206
The Last V Value is : 25.8248
The Last V Value is : 23.5008
The Last V Value is : 28.224
The Last V Value is : 25.7999
The Last V Value is : 28.6489
The Last V Value is : 23.6846
The Last V Value is : 28.2958
The Last V Value is : 25.9576
The Last V Value is : 26.0247
The Last V Value is : 29.544
The Last V Value is : 31.1702
The Last V Value is : 21.0989
The Last V Value is : 25.6224
The Last V Value is : 24.8369
The Last V Value is : 26.9367
The Last V Value is : 29.0606
The Last V Value is : 25.7917
The Last V Value is : 25.6885
The Last V Value is : 30.1733
The Last V Value is : 27.4968
The Last V Value is : 25.4769
The Last V Value is : 25.1995
The Last V Value is : 27.3501
The Last V Value is : 31.7327
The Last V Value is : 27.9406
The Last V Value is : 23.0118
The Last V Value is : 27.3766
The Last V Value is : 28.0546
The Last V Value is : 22.6316
The Last V Value is : 26.0879
The Last V Value is : 22.5342
The Last V Value is : 26.2021
The Last V Value is : 26.6442
The Last V Value is : 27.3233
The Last V Value is : 27.8904
The Last V Value is : 25.3216
The Last V Value is : 32.3451
The Last V Value is : 25.6883
The Last V Value is : 27.7909
The Last V Value is : 23.2957
The Last V Value is : 30.2356
The Last V Value is : 21.3596
The Last V Value is : 23.4045
The Last V Value is : 27.8852
average final V value : 26.5455
total change time : 11.88


Threshold (S, V) : (2, 10.5)
The Last V Value is : 30.9787
The Last V Value is : 29.7366
The Last V Value is : 30.7038
The Last V Value is : 30.9777
The Last V Value is : 23.3239
The Last V Value is : 30.9507
The Last V Value is : 30.7046
The Last V Value is : 31.1283
The Last V Value is : 31.1901
The Last V Value is : 32.8559
The Last V Value is : 33.4898
The Last V Value is : 33.7941
The Last V Value is : 31.5327
The Last V Value is : 29.2957
The Last V Value is : 32.3493
The Last V Value is : 32.9296
The Last V Value is : 29.8041
The Last V Value is : 29.3718
The Last V Value is : 31.3376
The Last V Value is : 32.0273
The Last V Value is : 34.6346
The Last V Value is : 32.8288
The Last V Value is : 33.7134
The Last V Value is : 35.1333
The Last V Value is : 32.3947
The Last V Value is : 31.2271
The Last V Value is : 29.2378
The Last V Value is : 32.2199
The Last V Value is : 36.2491
The Last V Value is : 31.1868
The Last V Value is : 24.1672
The Last V Value is : 32.1678
The Last V Value is : 34.2198
The Last V Value is : 33.8754
The Last V Value is : 30.065
The Last V Value is : 31.2681
The Last V Value is : 30.1117
The Last V Value is : 29.3562
The Last V Value is : 31.7834
The Last V Value is : 31.9162
The Last V Value is : 36.3111
The Last V Value is : 28.2154
The Last V Value is : 33.0291
The Last V Value is : 33.9804
The Last V Value is : 28.3369
The Last V Value is : 35.6051
The Last V Value is : 30.6058
The Last V Value is : 33.503
The Last V Value is : 35.441
The Last V Value is : 28.9203
average final V value : 31.6037
total change time : 324.44


Threshold (S, V) : (2.5, 10.5)
The Last V Value is : 27.2024
The Last V Value is : 30.5196
The Last V Value is : 31.8457
The Last V Value is : 35.1079
The Last V Value is : 34.1297
The Last V Value is : 32.6673
The Last V Value is : 29.1851
The Last V Value is : 29.3001
The Last V Value is : 29.4111
The Last V Value is : 29.659
The Last V Value is : 31.0688
The Last V Value is : 31.4223
The Last V Value is : 33.0568
The Last V Value is : 25.3728
The Last V Value is : 31.7929
The Last V Value is : 27.7347
The Last V Value is : 30.8795
The Last V Value is : 29.9163
The Last V Value is : 27.9168
The Last V Value is : 29.9141
The Last V Value is : 29.4088
The Last V Value is : 28.3297
The Last V Value is : 25.4783
The Last V Value is : 33.6024
The Last V Value is : 31.4021
The Last V Value is : 29.0353
The Last V Value is : 31.8738
The Last V Value is : 29.3537
The Last V Value is : 35.0332
The Last V Value is : 31.9228
The Last V Value is : 28.6101
The Last V Value is : 29.8297
The Last V Value is : 26.4557
The Last V Value is : 30.0575
The Last V Value is : 31.2789
The Last V Value is : 30.5566
The Last V Value is : 30.4957
The Last V Value is : 29.242
The Last V Value is : 34.4081
The Last V Value is : 36.2617
The Last V Value is : 36.1826
The Last V Value is : 27.2267
The Last V Value is : 28.0042
The Last V Value is : 27.7862
The Last V Value is : 26.1484
The Last V Value is : 28.2111
The Last V Value is : 26.5163
The Last V Value is : 29.429
The Last V Value is : 28.7625
The Last V Value is : 30.6529
average final V value : 30.1932
total change time : 280.8


